inv_num	text_region_id	line_ids	scan_id	scan_num	page_num	year	month_num	day_num	date_type	page_id
3158		NL-HaNA_1.01.02_3158_0498-line-3676-2300-1189-308	NL-HaNA_1.01.02_3158_0498	498	995	1607	5	21	start	NL-HaNA_1.01.02_3158_0498-page-995
3158		NL-HaNA_1.01.02_3158_0510-line-3743-2196-1135-220	NL-HaNA_1.01.02_3158_0510	510	1019	1607	5	21	start	NL-HaNA_1.01.02_3158_0510-page-1019
3158		NL-HaNA_1.01.02_3158_0514-line-1370-1538-1233-204	NL-HaNA_1.01.02_3158_0514	514	1026	1607	5	21	start	NL-HaNA_1.01.02_3158_0514-page-1026
3158		NL-HaNA_1.01.02_3158_0518-line-325-1746-2203-174	NL-HaNA_1.01.02_3158_0518	518	1034	1607	5	21	start	NL-HaNA_1.01.02_3158_0518-page-1034
3158		NL-HaNA_1.01.02_3158_0784-line-3605-2727-1321-218	NL-HaNA_1.01.02_3158_0784	784	1567	1607	5	21	start	NL-HaNA_1.01.02_3158_0784-page-1567
3158		NL-HaNA_1.01.02_3158_0787-line-3732-935-1144-156	NL-HaNA_1.01.02_3158_0787	787	1573	1607	5	21	start	NL-HaNA_1.01.02_3158_0787-page-1573
3158		NL-HaNA_1.01.02_3158_0789-line-3673-1089-1252-264	NL-HaNA_1.01.02_3158_0789	789	1577	1607	5	21	start	NL-HaNA_1.01.02_3158_0789-page-1577
3158		NL-HaNA_1.01.02_3158_0795-line-1396-1127-1224-263	NL-HaNA_1.01.02_3158_0795	795	1588	1607	5	21	start	NL-HaNA_1.01.02_3158_0795-page-1588
3158		NL-HaNA_1.01.02_3158_0798-line-3291-2876-1578-246	NL-HaNA_1.01.02_3158_0798	798	1595	1607	5	21	start	NL-HaNA_1.01.02_3158_0798-page-1595
3158		NL-HaNA_1.01.02_3158_0801-line-1145-1199-1104-311	NL-HaNA_1.01.02_3158_0801	801	1600	1607	5	21	start	NL-HaNA_1.01.02_3158_0801-page-1600
3158		NL-HaNA_1.01.02_3158_0804-line-3467-1775-1382-281	NL-HaNA_1.01.02_3158_0804	804	1607	1607	5	21	start	NL-HaNA_1.01.02_3158_0804-page-1607
